Date,Start Time,End Time,Minutes,All Suspect Vars Missing,Wind Speed Before Block (m/s),Wind Speed After Block (m/s)
2009-06-10,23:36,23:37,2,FALSE,0.00499999988824129,0.06199999898672104
2009-06-11,06:05,06:05,1,FALSE,0.04699999839067459,0.03599999845027923
2009-06-11,10:48,10:48,1,FALSE,0.03099999949336052,0.28299999237060547
2009-06-11,13:29,13:29,1,FALSE,0.3499999940395355,0.11800000071525574
2009-06-11,13:36,13:36,1,FALSE,0.09600000083446504,0.07000000029802322
2009-06-11,13:39,13:39,1,FALSE,0.04100000113248825,0.5569999814033508
2009-06-15,13:09,13:09,1,FALSE,0.09399999678134918,0.01499999966472387
2009-06-25,07:46,07:47,2,FALSE,0.0260000005364418,0.5879999995231628
2009-06-25,11:26,11:26,1,FALSE,0.21699999272823337,0.30799999833106995
2009-06-25,11:31,11:40,10,FALSE,0.04399999976158142,0.2709999978542328
2009-06-29,09:31,09:32,2,FALSE,0.01600000075995922,0.6299999952316284
2009-06-29,11:19,11:20,2,FALSE,0.08699999749660492,0.13099999725818634
2009-06-29,12:03,12:05,3,FALSE,0.0260000005364418,0.5450000166893005
2010-06-01,12:17,12:17,1,FALSE,0.19900000095367432,0.2800000011920929
2010-06-01,12:31,12:32,2,FALSE,0.2840000092983246,0.26100000739097595
2010-06-02,23:17,23:17,1,FALSE,0.2199999988079071,0.07000000029802322
2010-06-03,00:06,00:06,1,FALSE,0.05999999865889549,0.0020000000949949
2010-06-03,00:20,00:20,1,FALSE,0.00800000037997961,0.20200000703334808
2010-06-03,19:36,19:36,1,FALSE,0.42500001192092896,0.10700000077486038
2010-06-07,09:52,09:54,3,FALSE,0.0820000022649765,0.01999999955296516
2010-06-07,15:20,15:20,1,FALSE,0.04800000041723251,0.13199999928474426
2010-06-07,15:48,15:48,1,FALSE,0.09600000083446504,0.05099999904632568
2010-06-07,15:50,15:50,1,FALSE,0.05099999904632568,0.2879999876022339
2010-06-09,09:04,09:04,1,FALSE,0.02899999916553497,0.1809999942779541
2010-06-09,09:46,09:50,5,FALSE,0.13199999928474426,0.1599999964237213
2010-06-17,17:55,17:55,1,TRUE,6.261000156402588,9.050000190734863
2010-06-29,08:21,08:24,4,FALSE,0.03099999949336052,0.05999999865889549
2011-06-02,18:52,18:52,1,TRUE,10.420000076293944,10.380000114440918
2011-06-12,10:06,10:06,1,FALSE,0.13099999725818634,0.39800000190734863
2011-06-15,06:22,06:22,1,FALSE,0.07800000160932541,0.7580000162124634
2011-06-15,10:15,10:15,1,FALSE,0.8190000057220459,1.1430000066757202
2011-06-22,12:25,12:25,1,FALSE,0.35600000619888306,0.04600000008940697
2011-06-23,12:55,12:55,1,FALSE,0.27900001406669617,0.44600000977516174
2012-06-01,10:31,10:32,2,FALSE,0.00499999988824129,0.12099999934434892
2012-06-01,15:32,15:37,6,FALSE,0.22200000286102295,0.32600000500679016
2012-06-01,15:50,15:52,3,FALSE,0.02800000086426735,0.1599999964237213
2012-06-01,16:49,16:49,1,FALSE,0.09600000083446504,0.7099999785423279
2012-06-02,07:20,07:23,4,FALSE,0.07000000029802322,0.5270000100135803
2012-06-06,14:15,14:15,1,TRUE,7.940000057220459,7.150000095367432
2012-06-07,03:48,04:37,50,FALSE,0.1289999932050705,0.7360000014305115
2012-06-22,06:45,06:56,12,FALSE,0.02899999916553497,0.0130000002682209
2012-06-22,09:56,09:56,1,FALSE,0.2450000047683716,0.3199999928474426
2012-06-29,09:36,09:37,2,FALSE,0.04199999943375587,0.07999999821186066
2013-06-01,06:26,06:28,3,FALSE,0.3019999861717224,0.2300000041723251
2013-06-04,03:51,03:52,2,FALSE,0.5009999871253967,0.10899999737739564
2013-06-05,15:59,16:00,2,FALSE,0.08799999952316284,0.28700000047683716
2013-06-07,20:02,20:02,1,FALSE,0.12800000607967377,0.22100000083446503
2013-06-09,06:39,06:39,1,FALSE,0.04199999943375587,0.47600001096725464
2013-06-16,08:31,08:34,4,FALSE,0.26600000262260437,0.2280000001192093
2013-06-16,17:44,17:44,1,FALSE,0.7950000166893005,1.909999966621399
2013-06-17,16:52,16:52,1,FALSE,0.47999998927116394,0.4399999976158142
2013-06-17,17:21,17:21,1,FALSE,0.09700000286102296,0.6370000243186951
2013-06-17,19:23,19:23,1,FALSE,0.29600000381469727,1.5859999656677246
2013-06-18,08:53,09:04,12,FALSE,0.03599999845027923,0.00499999988824129
2013-06-28,11:30,11:32,3,FALSE,0.0260000005364418,0.4480000138282776
2014-06-06,23:19,23:19,1,FALSE,0.18400000035762787,0.3860000073909759
2014-06-19,14:41,14:41,1,TRUE,3.559000015258789,4.548999786376953
2014-06-20,08:58,08:58,1,FALSE,0.04399999976158142,0.17499999701976776
2014-06-20,10:23,10:26,4,FALSE,0.19900000095367432,0.2630000114440918
2014-06-20,10:52,10:52,1,FALSE,0.16300000250339508,0.29499998688697815
2014-06-21,12:28,12:29,2,FALSE,0.2759999930858612,0.2189999967813492
2014-06-24,10:33,10:45,13,FALSE,0.11800000071525574,0.8259999752044678
2014-06-24,15:04,15:04,1,FALSE,0.4869999885559082,0.781000018119812
2014-06-25,10:47,11:03,17,FALSE,0.11599999666213988,0.13199999928474426
2014-06-25,11:18,11:19,2,FALSE,0.1940000057220459,0.15800000727176666
2014-06-25,11:24,11:34,11,FALSE,0.06499999761581421,0.6650000214576721
2014-06-25,12:36,12:36,1,FALSE,0.05700000002980232,0.15800000727176666
2014-06-25,13:14,13:15,2,FALSE,0.13699999451637268,0.00999999977648258
2015-06-05,14:36,14:37,2,TRUE,7.260000228881836,3.382999897003174
2015-06-12,19:33,19:33,1,FALSE,0.05999999865889549,0.4129999876022339
2015-06-16,18:03,18:03,1,FALSE,0.2419999986886978,0.5090000033378601
2015-06-16,18:47,18:47,1,FALSE,0.36000001430511475,0.3149999976158142
2015-06-18,19:00,19:01,2,TRUE,7.809999942779541,7.78000020980835
2015-06-19,03:09,03:09,1,FALSE,0.00999999977648258,0.3240000009536743
2015-06-19,14:53,14:56,4,FALSE,0.00999999977648258,0.13199999928474426
2015-06-29,11:32,11:35,4,FALSE,0.02899999916553497,0.39500001072883606
2015-06-29,12:51,12:53,3,FALSE,0.4300000071525574,0.06499999761581421
2016-06-01,03:45,03:46,2,FALSE,0.24899999797344208,0.5600000023841858
2016-06-03,04:02,04:06,5,FALSE,0.08500000089406967,0.3499999940395355
2016-06-03,04:15,04:22,8,FALSE,0.05700000002980232,0.14399999380111694
2016-06-03,04:27,04:30,4,FALSE,0.04699999839067459,0.01600000075995922
2016-06-03,04:53,05:23,31,FALSE,0.09799999743700027,0.32199999690055847
2016-06-03,16:30,16:30,1,FALSE,0.05999999865889549,0.33399999141693115
2016-06-14,11:48,11:53,6,FALSE,0.32199999690055847,0.01099999994039535
2016-06-17,13:59,13:59,1,TRUE,4.697999954223633,3.950000047683716
2016-06-20,08:48,08:48,1,FALSE,0.3070000112056732,0.37299999594688416
2016-06-24,10:30,10:30,1,FALSE,0.07500000298023224,0.27799999713897705
2016-06-26,23:28,23:28,1,FALSE,0.07500000298023224,0.11400000005960464
2016-06-28,07:55,08:01,7,FALSE,0.02899999916553497,0.13099999725818634
2016-06-30,19:09,19:12,4,TRUE,5.25600004196167,3.499000072479248
2017-06-03,04:31,04:33,3,FALSE,0.0390000008046627,0.1449999958276749
2017-06-04,07:29,07:35,7,FALSE,0.20600000023841855,0.11800000071525574
2017-06-06,04:42,04:59,18,FALSE,0.0020000000949949,0.24799999594688416
2017-06-08,10:38,10:53,16,FALSE,0.07699999958276749,0.13199999928474426
2017-06-15,14:05,14:06,2,TRUE,2.796999931335449,3.8949999809265137
2017-06-19,07:10,07:11,2,FALSE,0.07199999690055847,0.23800000548362732
2017-06-19,07:54,07:55,2,FALSE,0.1449999958276749,0.31700000166893005
2017-06-19,08:10,08:23,14,FALSE,0.13199999928474426,0.04899999871850014
2017-06-19,08:29,08:42,14,FALSE,0.06199999898672104,0.0020000000949949
2017-06-19,10:45,10:50,6,FALSE,0.0560000017285347,0.17399999499320984
2017-06-19,11:30,11:44,15,FALSE,0.14900000393390656,0.25999999046325684
2017-06-25,13:12,13:12,1,FALSE,0.17599999904632568,0.02300000004470348
2017-06-29,18:17,18:19,3,TRUE,10.170000076293944,9.729999542236328
2018-06-02,13:12,13:12,1,FALSE,0.03400000184774399,0.090999998152256
2018-06-02,13:21,13:22,2,FALSE,0.00999999977648258,0.00700000021606683
2018-06-02,13:28,13:28,1,FALSE,0.07800000160932541,0.43299999833106995
2018-06-21,02:26,02:27,2,FALSE,0.07000000029802322,0.29600000381469727
2018-06-21,02:35,02:35,1,FALSE,0.08799999952316284,0.02800000086426735
2018-06-23,14:44,14:44,1,FALSE,0.23499999940395355,0.4909999966621399
2018-06-23,22:34,22:34,1,FALSE,0.2409999966621399,0.02899999916553497
2019-06-01,22:13,22:14,2,FALSE,0.09799999743700027,0.4589999914169311
2019-06-01,22:59,23:00,2,FALSE,0.13500000536441803,0.28700000047683716
2019-06-01,23:41,00:50,70,FALSE,0.02800000086426735,0.289000004529953
2019-06-02,10:15,10:15,1,FALSE,0.24799999594688416,0.45500001311302185
2019-06-02,10:41,10:51,11,FALSE,0.18299999833106995,0.3269999921321869
2019-06-02,16:39,16:40,2,FALSE,0.7630000114440918,0.6809999942779541
2019-06-03,08:19,08:20,2,FALSE,0.10599999874830246,0.30399999022483826
2019-06-04,07:29,07:31,3,FALSE,1.1430000066757202,1.4040000438690186
2019-06-05,12:09,12:10,2,FALSE,0.3050000071525574,0.04500000178813934
2019-06-05,12:19,12:22,4,FALSE,0.06499999761581421,0.3790000081062317
2019-06-06,04:45,04:57,13,FALSE,0.33899998664855957,0.00999999977648258
2019-06-06,05:08,06:11,64,FALSE,0.00300000002607703,0.2160000056028366
2019-06-06,08:57,09:00,4,FALSE,0.07500000298023224,0.37400001287460327
2019-06-06,09:05,09:05,1,FALSE,0.0949999988079071,0.00700000021606683
2019-06-06,11:04,11:04,1,FALSE,0.5669999718666077,0.5239999890327454
2019-06-06,11:29,11:29,1,FALSE,0.1710000038146973,0.05999999865889549
2019-06-06,17:43,17:56,14,FALSE,0.5870000123977661,0.609000027179718
2019-06-06,18:07,18:11,5,FALSE,0.6269999742507935,0.9079999923706056
2019-06-06,18:32,18:37,6,FALSE,0.5770000219345093,1.0169999599456787
2019-06-06,19:17,19:19,3,FALSE,1.258999943733215,0.0020000000949949
2019-06-08,11:24,11:26,3,FALSE,0.0020000000949949,0.5080000162124634
2019-06-12,03:40,03:40,1,FALSE,0.31299999356269836,0.17800000309944153
2019-06-13,06:21,06:32,12,FALSE,0.621999979019165,1.0260000228881836
2019-06-13,11:35,11:38,4,FALSE,0.10899999737739564,0.11599999666213988
2019-06-13,11:43,11:49,7,FALSE,0.3179999887943268,0.16300000250339508
2019-06-13,12:18,12:23,6,FALSE,0.04199999943375587,0.193000003695488
2019-06-13,12:34,12:37,4,FALSE,0.9419999718666076,0.5080000162124634
2019-06-15,08:15,08:16,2,FALSE,0.32199999690055847,0.03400000184774399
2019-06-16,15:12,15:12,1,FALSE,0.6039999723434448,0.2549999952316284
2019-06-16,15:59,16:00,2,FALSE,0.4869999885559082,1.2949999570846558
2019-06-16,17:48,17:51,4,FALSE,0.23499999940395355,0.164000004529953
2019-06-16,18:02,18:07,6,FALSE,0.21299999952316284,0.02400000020861625
2019-06-16,18:18,18:20,3,FALSE,0.11100000143051147,0.02400000020861625
2019-06-16,18:23,18:26,4,FALSE,0.181999996304512,0.7360000014305115
2019-06-17,01:50,01:54,5,FALSE,0.1449999958276749,0.13600000739097595
2019-06-17,02:53,02:59,7,FALSE,0.04399999976158142,0.03799999877810478
2019-06-17,03:01,03:06,6,FALSE,0.03799999877810478,0.00300000002607703
2019-06-17,03:15,03:44,30,FALSE,0.05900000035762787,0.00800000037997961
2019-06-17,04:59,06:17,79,FALSE,0.0020000000949949,0.15800000727176666
2019-06-17,09:35,09:36,2,FALSE,0.01600000075995922,0.04100000113248825
2019-06-18,14:49,14:52,4,FALSE,0.0020000000949949,0.1850000023841858
2019-06-18,15:01,15:01,1,FALSE,0.20000000298023224,0.4180000126361847
2019-06-20,02:56,02:57,2,FALSE,0.28600001335144043,0.3919999897480011
2019-06-20,03:31,03:31,1,FALSE,0.02899999916553497,0.08299999684095383
2019-06-22,10:49,10:49,1,FALSE,0.02300000004470348,0.5170000195503235
2019-06-23,19:05,19:05,1,FALSE,0.11800000071525574,0.4440000057220459
2019-06-24,19:27,19:27,1,FALSE,0.5329999923706055,0.2630000114440918
2019-06-24,23:19,23:20,2,FALSE,0.44200000166893005,0.01099999994039535
2019-06-25,11:15,11:20,6,FALSE,0.2290000021457672,0.1599999964237213
2019-06-25,17:21,17:21,1,FALSE,0.30300000309944153,0.5199999809265137
2020-06-04,14:31,15:05,35,FALSE,0.23899999260902405,0.03200000151991844
2020-06-04,15:08,15:09,2,FALSE,0.01600000075995922,1.3650000095367432
2020-06-05,10:21,10:24,4,FALSE,0.31200000643730164,0.15399999916553497
2020-06-05,10:34,10:36,3,FALSE,0.28200000524520874,0.04100000113248825
2020-06-05,11:14,11:15,2,FALSE,0.09700000286102296,0.4740000069141388
2020-06-05,11:27,11:30,4,FALSE,0.12700000405311584,0.23100000619888303
2020-06-05,11:43,11:51,9,FALSE,0.21400000154972076,0.3179999887943268
2020-06-05,11:55,11:59,5,FALSE,0.193000003695488,0.5460000038146973
2020-06-19,15:23,15:23,1,FALSE,0.17299999296665192,0.39899998903274536
2020-06-20,17:21,17:21,1,FALSE,0.22699999809265137,0.06700000166893005
2020-06-20,23:50,23:50,1,FALSE,0.1979999989271164,0.07999999821186066
2020-06-21,00:36,00:36,1,FALSE,0.3650000095367432,0.5860000252723694
2020-06-21,13:13,13:13,1,FALSE,0.12800000607967377,0.8989999890327454
2020-06-22,09:38,09:38,1,FALSE,0.00800000037997961,0.00700000021606683
2020-06-23,00:08,00:08,1,FALSE,0.20600000023841855,0.3059999942779541
2020-06-23,03:24,03:24,1,FALSE,0.22699999809265137,0.05900000035762787
2020-06-23,03:38,03:40,3,FALSE,0.09300000220537186,0.3840000033378601
2020-06-24,10:25,10:25,1,FALSE,0.29100000858306885,0.6320000290870667
2020-06-24,10:38,10:38,1,FALSE,0.15800000727176666,0.18299999833106995
2020-06-24,10:48,10:48,1,FALSE,0.00300000002607703,0.27300000190734863
2020-06-24,13:01,13:02,2,FALSE,0.00300000002607703,0.05400000140070915
2021-06-02,02:30,02:35,6,FALSE,0.00800000037997961,0.27799999713897705
2021-06-02,02:42,02:42,1,FALSE,0.11100000143051147,0.13099999725818634
2021-06-02,09:50,09:58,9,FALSE,0.15600000321865082,0.2770000100135803
2021-06-02,12:36,12:48,13,FALSE,0.03500000014901161,0.16699999570846558
2021-06-02,12:54,12:55,2,FALSE,0.00499999988824129,0.01099999994039535
2021-06-02,12:57,12:58,2,FALSE,0.01099999994039535,0.2370000034570694
2021-06-02,13:04,13:05,2,FALSE,0.3190000057220459,0.1679999977350235
2021-06-02,15:43,15:43,1,FALSE,0.09000000357627869,0.2240000069141388
2021-06-03,09:40,09:41,2,FALSE,0.19099999964237213,0.09600000083446504
2021-06-03,10:51,10:52,2,FALSE,0.25200000405311584,0.39800000190734863
2021-06-14,07:53,07:54,2,FALSE,0.07199999690055847,0.0390000008046627
2021-06-14,07:58,08:01,4,FALSE,0.02899999916553497,0.1679999977350235
2021-06-14,08:31,08:39,9,FALSE,0.23999999463558197,0.2680000066757202
2021-06-15,09:40,09:41,2,FALSE,0.15700000524520874,0.10000000149011612
2021-06-15,09:52,10:19,28,FALSE,0.10499999672174454,0.0520000010728836
2021-06-15,11:35,12:56,82,FALSE,0.0949999988079071,0.2280000001192093
2021-06-15,13:03,13:03,1,FALSE,0.4000000059604645,0.2669999897480011
2021-06-15,13:09,13:12,4,FALSE,0.10599999874830246,0.12200000137090684
2021-06-15,13:14,13:17,4,FALSE,0.12200000137090684,0.01799999922513961
2021-06-15,13:33,13:36,4,FALSE,0.32100000977516174,0.5799999833106995
2021-06-15,16:56,16:56,1,FALSE,0.4359999895095825,0.6079999804496765
2021-06-27,07:06,07:06,1,FALSE,0.22499999403953552,0.0260000005364418
2021-06-27,10:49,10:51,3,FALSE,0.4670000076293946,0.4359999895095825
2021-06-27,15:05,15:07,3,FALSE,0.23499999940395355,0.2300000041723251
2021-06-27,17:19,17:19,1,FALSE,0.04699999839067459,0.27900001406669617
2021-06-28,23:21,23:23,3,FALSE,0.04100000113248825,0.00300000002607703
2021-06-30,23:41,23:41,1,FALSE,0.04199999943375587,0.19099999964237213
2021-06-30,23:47,23:49,3,FALSE,0.04600000008940697,0.6460000276565552
2022-06-01,05:14,05:14,1,FALSE,0.0689999982714653,0.7260000109672546
2022-06-03,08:38,08:39,2,FALSE,0.3409999907016754,0.13699999451637268
2022-06-03,08:50,08:56,7,FALSE,0.00700000021606683,0.0989999994635582
2022-06-03,09:43,09:44,2,FALSE,0.0520000010728836,0.01600000075995922
2022-06-03,10:40,10:43,4,FALSE,0.18000000715255737,0.5550000071525574
2022-06-03,11:16,11:16,1,FALSE,0.1679999977350235,0.01799999922513961
2022-06-06,07:03,07:03,1,FALSE,0.2590000033378601,0.29100000858306885
2022-06-06,08:48,08:48,1,FALSE,0.04399999976158142,0.12200000137090684
2022-06-06,08:57,08:59,3,FALSE,0.33799999952316284,0.04699999839067459
2022-06-06,09:17,09:18,2,FALSE,0.10100000351667404,0.2029999941587448
2022-06-06,22:48,22:49,2,FALSE,0.33799999952316284,0.8130000233650208
2022-06-08,07:35,07:35,1,FALSE,0.08799999952316284,0.1589999943971634
2022-06-10,14:20,14:20,1,FALSE,0.04100000113248825,0.11500000208616255
2022-06-28,16:51,16:51,1,FALSE,0.18299999833106995,0.8989999890327454
2022-06-29,11:24,11:29,6,FALSE,0.25200000405311584,0.23999999463558197
2022-06-29,11:55,11:55,1,FALSE,0.23399999737739563,0.4869999885559082
2022-06-29,12:13,12:23,11,FALSE,0.04100000113248825,0.07400000095367432
2023-06-01,13:40,13:42,3,FALSE,0.04199999943375587,0.01600000075995922
2023-06-01,13:47,13:49,3,FALSE,0.03799999877810478,0.1379999965429306
2023-06-01,14:09,14:13,5,FALSE,0.12600000202655792,0.1710000038146973
2023-06-01,14:16,14:18,3,FALSE,0.0820000022649765,0.08699999749660492
2023-06-02,02:03,02:07,5,FALSE,0.14000000059604645,0.01499999966472387
2023-06-02,02:12,02:12,1,FALSE,0.22200000286102295,0.19699999690055847
2023-06-03,06:18,06:18,1,FALSE,0.1289999932050705,0.2150000035762787
2023-06-03,09:21,09:22,2,FALSE,0.02899999916553497,0.2540000081062317
2023-06-03,11:28,11:29,2,FALSE,0.06400000303983688,0.0689999982714653
2023-06-03,11:32,11:33,2,FALSE,0.3160000145435333,0.02300000004470348
2023-06-03,14:16,14:17,2,FALSE,0.4309999942779541,0.14900000393390656
2023-06-03,14:23,14:23,1,FALSE,0.5049999952316284,0.08299999684095383
2023-06-04,17:49,17:50,2,FALSE,0.22499999403953552,0.02300000004470348
2023-06-04,18:53,18:53,1,FALSE,0.02099999971687793,0.11100000143051147
2023-06-04,21:30,21:30,1,FALSE,0.20900000631809235,0.0020000000949949
2023-06-07,04:04,04:04,1,FALSE,0.01099999994039535,0.1080000028014183
2023-06-07,11:40,11:50,11,FALSE,0.23399999737739563,0.1599999964237213
2023-06-07,20:00,20:01,2,FALSE,0.34700000286102295,0.01999999955296516
2023-06-08,06:13,06:15,3,FALSE,0.19900000095367432,0.10899999737739564
2023-06-08,11:25,11:25,1,FALSE,0.02300000004470348,0.44999998807907104
2023-06-08,11:37,11:37,1,FALSE,0.04399999976158142,0.3050000071525574
2023-06-08,12:19,12:19,1,FALSE,0.04899999871850014,0.4740000069141388
2023-06-08,12:31,12:31,1,FALSE,0.22200000286102295,0.00800000037997961
2023-06-08,12:33,12:34,2,FALSE,0.00800000037997961,0.05799999833106994
2023-06-08,12:36,12:37,2,FALSE,0.05799999833106994,0.05000000074505806
2023-06-08,12:42,12:46,5,FALSE,0.26899999380111694,0.0729999989271164
2023-06-09,01:23,01:26,4,FALSE,0.2290000021457672,0.20200000703334808
2023-06-09,11:57,11:59,3,FALSE,0.03400000184774399,0.04199999943375587
2023-06-09,14:14,14:14,1,FALSE,0.13199999928474426,0.5569999814033508
2023-06-09,18:10,18:10,1,FALSE,0.5630000233650208,0.4620000123977661
2023-06-10,13:49,13:50,2,FALSE,0.00800000037997961,0.22699999809265137
2023-06-12,08:59,09:00,2,FALSE,0.07500000298023224,0.0520000010728836
2023-06-12,09:24,09:29,6,FALSE,0.03799999877810478,0.02099999971687793
2023-06-13,11:25,11:25,1,FALSE,0.1809999942779541,0.0949999988079071
2023-06-13,11:42,11:44,3,FALSE,0.3479999899864197,0.26600000262260437
2023-06-13,11:54,11:54,1,FALSE,0.1860000044107437,0.02099999971687793
2023-06-13,12:24,12:24,1,FALSE,0.18799999356269836,0.00999999977648258
2023-06-13,12:27,12:28,2,FALSE,0.00700000021606683,0.22100000083446503
2023-06-13,13:25,13:26,2,FALSE,0.1710000038146973,0.08900000154972076
2023-06-13,13:29,13:29,1,FALSE,0.2680000066757202,0.5989999771118164
2023-06-14,04:55,04:56,2,FALSE,0.15800000727176666,0.03599999845027923
2023-06-14,05:02,05:02,1,FALSE,0.04600000008940697,0.47999998927116394
2023-06-15,10:34,10:36,3,FALSE,0.04199999943375587,0.11100000143051147
2023-06-16,12:28,12:28,1,FALSE,0.12099999934434892,0.1979999989271164
2023-06-23,03:52,03:53,2,FALSE,0.15800000727176666,0.22200000286102295
2023-06-23,06:36,06:37,2,FALSE,0.25999999046325684,0.00499999988824129
2023-06-25,05:55,05:55,1,FALSE,0.210999995470047,0.03500000014901161
2023-06-25,08:54,08:54,1,FALSE,0.01799999922513961,0.07800000160932541
2023-06-25,08:59,09:05,7,FALSE,0.16099999845027924,0.2240000069141388
2023-06-25,10:39,10:42,4,FALSE,0.2039999961853027,0.47200000286102295
2024-06-01,10:29,10:35,7,FALSE,0.17499999701976776,0.04600000008940697
2024-06-01,10:43,10:43,1,FALSE,0.02099999971687793,0.00300000002607703
2024-06-01,10:50,10:52,3,FALSE,0.09000000357627869,0.03799999877810478
2024-06-06,12:19,12:27,9,FALSE,0.01499999966472387,0.1430000066757202
2024-06-06,12:51,12:51,1,FALSE,0.421999990940094,0.35199999809265137
2024-06-08,21:40,21:42,3,FALSE,0.0820000022649765,0.11400000005960464
2024-06-14,08:35,08:35,1,FALSE,0.296999990940094,0.49900001287460327
2024-06-26,19:43,19:43,1,FALSE,0.49900001287460327,0.3319999873638153
2024-06-27,10:38,10:38,1,FALSE,0.06400000303983688,0.08500000089406967
2024-06-27,10:42,10:43,2,FALSE,0.1340000033378601,0.10700000077486038
2024-06-28,07:30,07:30,1,FALSE,0.06800000369548798,0.39800000190734863
2025-06-01,09:26,09:27,2,FALSE,0.14399999380111694,0.4970000088214874
2025-06-01,09:36,09:36,1,FALSE,0.10899999737739564,0.6460000276565552
2025-06-01,10:37,10:37,1,FALSE,0.03299999982118606,0.2759999930858612
2025-06-01,12:58,12:59,2,FALSE,0.02800000086426735,0.03400000184774399
2025-06-01,22:33,22:34,2,FALSE,0.119999997317791,0.17900000512599945
2025-06-05,08:03,08:03,1,FALSE,0.07500000298023224,0.06499999761581421
2025-06-06,16:39,16:39,1,FALSE,0.46799999475479126,0.16200000047683716
2025-06-06,19:04,19:05,2,FALSE,0.06400000303983688,0.3240000009536743
2025-06-06,23:23,23:24,2,FALSE,0.119999997317791,0.00800000037997961
2025-06-07,11:03,11:03,1,FALSE,0.07400000095367432,0.3089999854564667
