generator,run,regressors,tau,C_tau,pct_reduction
embedded,1,st,0.5,25286.02,11.0
embedded,1,st,0.75,25492.43,19.4
embedded,1,st,0.9,17816.07,25.5
embedded,1,st_stm1,0.5,25285.87,11.0
embedded,1,st_stm1,0.75,25492.24,19.4
embedded,1,st_stm1,0.9,17812.6,25.5
embedded,1,st_absds1,0.5,24386.67,14.2
embedded,1,st_absds1,0.75,23829.11,24.8
embedded,1,st_absds1,0.9,16053.22,33.0
embedded,1,st_normdw1,0.5,24049.96,15.4
embedded,1,st_normdw1,0.75,23113.49,26.9
embedded,1,st_normdw1,0.9,15262.12,36.2
embedded,1,st_full_scalar,0.5,23780.86,16.3
embedded,1,st_full_scalar,0.75,22597.55,28.7
embedded,1,st_full_scalar,0.9,14609.18,39.0
embedded,1,st_full_vector,0.5,23613.36,16.9
embedded,1,st_full_vector,0.75,22194.03,29.8
embedded,1,st_full_vector,0.9,14140.35,40.9
embedded,1,full_vector_no_st,0.5,24043.25,15.4
embedded,1,full_vector_no_st,0.75,22857.0,27.7
embedded,1,full_vector_no_st,0.9,14691.32,38.6
embedded,2,intercept,0.5,28376.09,
embedded,2,intercept,0.75,31317.72,
embedded,2,intercept,0.9,23588.03,
embedded,2,st,0.5,25402.44,10.5
embedded,2,st,0.75,25626.17,18.2
embedded,2,st,0.9,17933.61,24.0
embedded,2,st_stm1,0.5,25402.44,10.5
embedded,2,st_stm1,0.75,25624.59,18.2
embedded,2,st_stm1,0.9,17925.93,24.0
embedded,2,st_absds1,0.5,24547.61,13.5
embedded,2,st_absds1,0.75,23999.31,23.5
embedded,2,st_absds1,0.9,16155.08,31.6
embedded,2,st_normdw1,0.5,24196.0,14.7
embedded,2,st_normdw1,0.75,23237.29,25.8
embedded,2,st_normdw1,0.9,15292.43,35.2
embedded,2,st_full_scalar,0.5,23965.24,15.5
embedded,2,st_full_scalar,0.75,22746.12,27.5
embedded,2,st_full_scalar,0.9,14646.88,38.0
embedded,2,st_full_vector,0.5,23775.3,16.2
embedded,2,st_full_vector,0.75,22306.34,28.8
embedded,2,st_full_vector,0.9,14137.76,40.1
embedded,2,full_vector_no_st,0.5,24215.48,14.7
embedded,2,full_vector_no_st,0.75,22948.95,26.7
embedded,2,full_vector_no_st,0.9,14670.62,37.8
embedded,3,intercept,0.5,26818.03,
embedded,3,intercept,0.75,30023.2,
embedded,3,intercept,0.9,22897.46,
embedded,3,st,0.5,23816.96,11.2
embedded,3,st,0.75,24030.98,20.0
embedded,3,st,0.9,16761.37,26.8
embedded,3,st_stm1,0.5,23816.89,11.2
embedded,3,st_stm1,0.75,24030.72,20.0
embedded,3,st_stm1,0.9,16756.23,26.8
embedded,3,st_absds1,0.5,22915.31,14.6
embedded,3,st_absds1,0.75,22337.26,25.6
embedded,3,st_absds1,0.9,15020.73,34.4
embedded,3,st_normdw1,0.5,22624.6,15.6
embedded,3,st_normdw1,0.75,21717.68,27.7
embedded,3,st_normdw1,0.9,14282.04,37.6
embedded,3,st_full_scalar,0.5,22362.73,16.6
embedded,3,st_full_scalar,0.75,21166.36,29.5
embedded,3,st_full_scalar,0.9,13624.0,40.5
embedded,3,st_full_vector,0.5,22221.64,17.1
embedded,3,st_full_vector,0.75,20822.52,30.6
embedded,3,st_full_vector,0.9,13212.27,42.3
embedded,3,full_vector_no_st,0.5,22604.85,15.7
embedded,3,full_vector_no_st,0.75,21414.42,28.7
embedded,3,full_vector_no_st,0.9,13696.11,40.2
embedded,4,intercept,0.5,28509.4,
embedded,4,intercept,0.75,31551.32,
embedded,4,intercept,0.9,23782.04,
embedded,4,st,0.5,25354.6,11.1
embedded,4,st,0.75,25414.67,19.4
embedded,4,st,0.9,17648.84,25.8
embedded,4,st_stm1,0.5,25353.55,11.1
embedded,4,st_stm1,0.75,25414.67,19.4
embedded,4,st_stm1,0.9,17644.12,25.8
embedded,4,st_absds1,0.5,24498.87,14.1
embedded,4,st_absds1,0.75,23821.25,24.5
embedded,4,st_absds1,0.9,15957.75,32.9
embedded,4,st_normdw1,0.5,24183.27,15.2
embedded,4,st_normdw1,0.75,23157.54,26.6
embedded,4,st_normdw1,0.9,15209.08,36.0
embedded,4,st_full_scalar,0.5,23938.83,16.0
embedded,4,st_full_scalar,0.75,22653.85,28.2
embedded,4,st_full_scalar,0.9,14578.39,38.7
embedded,4,st_full_vector,0.5,23759.31,16.7
embedded,4,st_full_vector,0.75,22257.57,29.5
embedded,4,st_full_vector,0.9,14117.72,40.6
embedded,4,full_vector_no_st,0.5,24190.08,15.2
embedded,4,full_vector_no_st,0.75,22894.59,27.4
embedded,4,full_vector_no_st,0.9,14668.33,38.3
embedded,5,intercept,0.5,27138.18,
embedded,5,intercept,0.75,29722.96,
embedded,5,intercept,0.9,22142.47,
embedded,5,st,0.5,24356.2,10.3
embedded,5,st,0.75,24422.04,17.8
embedded,5,st,0.9,16945.61,23.5
embedded,5,st_stm1,0.5,24356.12,10.3
embedded,5,st_stm1,0.75,24421.74,17.8
embedded,5,st_stm1,0.9,16939.7,23.5
embedded,5,st_absds1,0.5,23511.9,13.4
embedded,5,st_absds1,0.75,22827.23,23.2
embedded,5,st_absds1,0.9,15300.45,30.9
embedded,5,st_normdw1,0.5,23206.39,14.5
embedded,5,st_normdw1,0.75,22211.82,25.3
embedded,5,st_normdw1,0.9,14601.06,34.1
embedded,5,st_full_scalar,0.5,22975.59,15.3
embedded,5,st_full_scalar,0.75,21668.04,27.1
embedded,5,st_full_scalar,0.9,13905.47,37.0
embedded,5,st_full_vector,0.5,22802.15,16.0
embedded,5,st_full_vector,0.75,21317.76,28.3
embedded,5,st_full_vector,0.9,13508.41,39.0
embedded,5,full_vector_no_st,0.5,23216.51,14.5
embedded,5,full_vector_no_st,0.75,21941.0,26.2
embedded,5,full_vector_no_st,0.9,14012.74,36.7
